approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
SLC36A2,18762,SLC36A2,PMID_35325889 | PMID_30476936,2,TRUE
SLC37A4,4061,SLC37A4,PMID_35325889 | PMID_30476936,2,TRUE
SLC3A1,11025,SLC3A1,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,9,TRUE
SLC41A1,19429,SLC41A1,PMID_35325889 | PMID_34264297 | PMID_29801666 | PMID_33532864 | PMID_35005812,5,TRUE
SLC4A1,11027,SLC4A1,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,10,TRUE
SLC4A4,11030,SLC4A4,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,10,TRUE
SLC5A1,11036,SLC5A1,PMID_35325889 | PMID_36035137 | PMID_26862157,3,TRUE
SLC5A2,11037,SLC5A2,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,9,TRUE
SLC6A19,27960,SLC6A19,PMID_35325889 | PMID_30476936,2,TRUE
SLC6A20,30927,SLC6A20,PMID_35325889 | PMID_30476936,2,TRUE
SLC7A13,23092,SLC7A13,PMID_33532864,1,FALSE
SLC7A7,11065,SLC7A7,PMID_35325889 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891,5,TRUE
SLC7A9,11067,SLC7A9,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,10,TRUE
SLIT2,11086,SLIT2,PMID_33664247 | PMID_30476936 | PMID_33532864 | PMID_35005812,4,TRUE
SLIT3,11087,SLIT3,PMID_33532864,1,FALSE
SLX4,23845,SLX4,PMID_35325889 | PMID_30476936,2,TRUE
SMAD3,6769,SMAD3,PMID_30476936,1,FALSE
SMAD9,6774,SMAD9,PMID_35325889,1,FALSE
