approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
SCARB2,1665,SCARB2,26677510,1,abstract
SGPL1,10817,SGPL1,36873630,1,title | abstract
SLC22A12,17989,SLC22A12,36745138,2,abstract; abstract
SLC4A1,11027,SLC4A1,37016093,1,abstract
SLC5A2,11037,SLC5A2,36982595,1,abstract
SLC7A11,11059,SLC7A11,36745138,2,abstract; abstract
SMN1,11117,SMN1,36745138,1,abstract
SP3,11208,SP3,36745138,2,abstract; abstract
STK11,11389,STK11,36745138,2,abstract; abstract
SYK,11491,SYK,36745138,2,abstract; abstract
TAC1,11517,TAC1,37033943,1,abstract
TACR1,11526,TACR1,37033943,2,abstract; abstract
TBCE,11582,TBCE,36919775; 36916904,4,abstract; abstract; abstract; abstract
TEP1,11726,TEP1,36745138,1,abstract
TLR2,11848,TLR2,36745138,2,abstract; abstract
TLR4,11850,TLR4,36745138,2,abstract; abstract
TMPRSS11D,24059,TMPRSS11D,36654513,1,abstract
TNF,11892,TNF,36745138; 34662052,4,abstract; abstract; abstract; abstract
TNFRSF1A,11916,TNFRSF1A,36745138,1,abstract
TNFRSF1B,11917,TNFRSF1B,36745138,2,abstract; abstract
TPO,12015,TPO,36926020,1,abstract
TPSAB1,12019,TPSAB1,36654513,2,abstract; abstract
TRPV5,3145,TRPV5,36682497,1,title | abstract
TRPV6,14006,TRPV6,36682497,1,title
TTR,12405,TTR,37006801,3,abstract; abstract; abstract
UBAP1,12461,UBAP1,36745138,1,abstract
UMOD,12559,UMOD,36682497,2,abstract; abstract
VDAC1,12669,VDAC1,36745138,1,abstract
WDR72,26790,WDR72,37016093,1,abstract
WT1,12796,WT1,36980135,2,abstract; abstract
