approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
BCL2,990,BCL2,34316015; 30951856; 28973148; 28270177; 27015534; 26108665; 25853332; 17061121,8,TRUE
BCL2A1,991,BCL2A1,34959131; 26108665; 11328899; 9655338,4,TRUE
BCL2L1,992,BCL2L1,26108665,1,FALSE
BCL2L2,995,BCL2L2,26108665,1,FALSE
BCRP1,39073,BCRP1,30382560,1,FALSE
BDNF,1033,BDNF,36782254; 36045113,4,TRUE
BGLAP,1043,BGLAP,27321958; 27005479,3,TRUE
BICC1,19351,BICC1,36035137; 35005812; 25715394; 24594709; 21922595; 20412683; 20219263; 19324013,10,TRUE
BID,1050,BID,35122417; 27015534,2,FALSE
BIRC2,590,BIRC2,36745138,2,FALSE
BLCAP,1055,BLCAP,29655784,2,FALSE
BLTP1,26953,BLTP1,16632497,1,FALSE
BMP1,1067,BMP1,20546278,1,FALSE
BMP2,1069,BMP2,36689521; 20546278,2,FALSE
BMP4,1071,BMP4,28796175; 24157943; 20546278,3,TRUE
BMP7,1074,BMP7,31537649; 27816395; 26878725; 24429398; 20546278,5,TRUE
BMPR1B,1077,BMPR1B,32461055,3,TRUE
BRAF,1097,BRAF,34805166; 33444290; 30375624; 27512790; 23020131; 21118718; 18347614,7,TRUE
BRCA1,1100,BRCA1,34385667; 12524552,2,FALSE
BRCA2,1101,BRCA2,34797032; 34385667; 29204651; 12524552,4,TRUE
BRD2,1103,BRD2,7851073,2,FALSE
BRD4,13575,BRD4,25877301,1,FALSE
BRF1,11551,BRF1,34089082,1,FALSE
BRS3,1113,BRS3,8852494,1,FALSE
BSCL2,15832,BSCL2,32280377,1,FALSE
BTBD9,21228,BTBD9,24433515; 21572129,2,FALSE
BTK,1133,BTK,30287618,2,FALSE
BTN2A1,1136,BTN2A1,25813695; 21557786,3,TRUE
BTNL2,1142,BTNL2,29663071,1,FALSE
BUB1,1148,BUB1,27552964,1,FALSE
C1GALT1,24337,C1GALT1,27536662; 27536663; 17062753,3,TRUE
C1QA,1241,C1QA,35836154; 33755821; 28682562; 23121180; 20116156; 12969141; 9039514,7,TRUE
C2CD3,24564,C2CD3,28289185,1,FALSE
C3,1318,C3,35817659; 35734939; 34721423; 34238373; 33614676; 33367879; 32870147; 33564431; 30094012; 30031798; 29888403; 29759419; 29659362; 29321782; 28210841; 26825529; 26586272; 26432903; 25608561; 25205734; 22669319; 22361228; 22246034; 21784830; 21376430; 21215749; 21114651; 20852386; 20556434; 19590060,31,TRUE
C4A,1323,C4A,21784830; 8852494,3,TRUE
C4B,1324,C4B,31945341; 19279649; 8852494,4,TRUE
C5,1331,C5,33826112; 32944483,2,FALSE
C5AR1,1338,C5AR1,36745138; 33367879; 22246034; 20556434,5,TRUE
C5orf52,35121,C5orf52,28125082,1,FALSE
C9,1358,C9,21057849,1,FALSE
CA2,1373,CA2,31300090; 21849803; 9525974,3,TRUE
CA9,1383,CA9,36340463; 24294381,3,TRUE
CAB39,20292,CAB39,24578125,1,FALSE
CABIN1,24187,CABIN1,22322241,1,FALSE
CABLES2,16143,CABLES2,33058866,1,FALSE
CACNA1D,1391,CACNA1D,25906099,1,FALSE
CACNA1S,1397,CACNA1S,34127828,1,FALSE
CALM1,1442,CALM1,27560828; 21756023,4,TRUE
CAMP,1472,CAMP,27127888,1,FALSE
CANX,1473,CANX,24303155; 23105100,2,FALSE
CAPG,1474,CAPG,33367879; 21215749,2,FALSE
CAPN10,1477,CAPN10,18077048,1,FALSE
CARD8,17057,CARD8,36835594; 36745138; 33164551,4,TRUE
CARNMT1,23435,CARNMT1,31993563,1,FALSE
CASP1,1499,CASP1,36745138; 34651582; 33164551; 32020248; 24525029,7,TRUE
CASP3,1504,CASP3,30425193; 25071085; 21300060; 20875407; 19943112; 18272845,6,TRUE
CASP9,1511,CASP9,30467309; 20875407,2,FALSE
CASR,1514,CASR,35587600; 35554666; 34784661; 34486176; 31789978; 31619668; 30641519; 30197885; 30104322; 30082059; 29794776; 29632324; 29561186; 28630081; 28263480; 27739473; 24455835; 22200434; 21034470; 19640368; 18193637,38,TRUE
CAT,1516,CAT,32265040; 31924810; 24057136; 10873385,6,TRUE
CAV1,1527,CAV1,27036738; 24814193; 21976276,4,TRUE
CBL,1541,CBL,32604168; 9182774,2,FALSE
CBLC,15961,CBLC,31130431; 23837176,2,FALSE
CBS,1550,CBS,32057642; 16686597; 16047261,3,TRUE
CBX5,1555,CBX5,36409784,1,FALSE
CBY1,1307,CBY1,15747112; 15194699,2,FALSE
CC2D2A,29253,CC2D2A,35140360; 32139166; 29146704; 20301500; 28374938; 26862157; 22241855; 21866095; 21816947; 21493627; 19778711; 18950740,12,TRUE
CCDC28B,28163,CCDC28B,32139166,1,FALSE
CCDC63,26669,CCDC63,30226566,1,FALSE
CCL18,10616,CCL18,35738828,2,FALSE
CCL2,10618,CCL2,35806283; 35043953; 33574979; 30368514; 25280384; 25154422; 23615182; 20414371,8,TRUE
CCL3,10627,CCL3,36745138,3,TRUE
CCL5,10632,CCL5,34089082; 33574979; 15899487,3,TRUE
CCM2,21708,CCM2,35370030; 29887830,2,FALSE
CCN2,2500,CCN2,36499730; 25107927; 22533709; 19657322,6,TRUE
CCND1,1582,CCND1,18054307,1,FALSE
CCP110,24342,CCP110,17719545,1,FALSE
CCR2,1603,CCR2,30340464; 19196047,2,FALSE
CCR3,1604,CCR3,26421528,1,FALSE
CCR4,1605,CCR4,33717080,1,FALSE
CCR5,1606,CCR5,25280384; 21127830; 19196047; 15610230,5,TRUE
CCR6,1607,CCR6,33717080; 33462083; 26138531,5,TRUE
CCS,1613,CCS,34545296,1,FALSE
CCSER1,29349,CCSER1,33414249,1,FALSE
CCT3,1616,CCT3,16738948,1,FALSE
CD14,1628,CD14,36745138,1,FALSE
CD151,1630,CD151,35278129; 18787104,3,TRUE
CD163,1631,CD163,29357411; 27711207,2,FALSE
CD2,1639,CD2,31461442; 23681557; 14643126; 8731104,4,TRUE
CD226,16961,CD226,26808113,1,FALSE
CD274,17635,CD274,18684942,1,FALSE
CD2AP,14258,CD2AP,34440683; 31517150; 30612599; 30450462; 29138824; 29038887; 27573339; 27461219; 25713721; 24676636; 24042019; 23681557; 23595123; 23014460; 22732337; 19956976; 18535845; 17530296; 14643126; 12217865; 10997929,26,TRUE
CD2BP2,1656,CD2BP2,19222527,1,FALSE
CD3D,1673,CD3D,27015534,1,FALSE
CD4,1678,CD4,36228738; 35438777; 33717080; 33066744; 32234571; 31929604; 27986304; 16237566; 15284290; 8731104,10,TRUE
CD40LG,11935,CD40LG,11936430,1,FALSE
CD44,1681,CD44,36745138; 29673759,2,FALSE
CD46,6953,CD46,35241161; 33217135; 33270832; 29907460; 28821363; 25608561; 25135762; 24850152; 24460647; 24005975; 23731345; 28509219; 23307876; 24594571; 22246034; 21376430; 20852386; 20556434; 20090363; 20016463; 18594873; 16419008; 16175037,35,TRUE
CD5,1685,CD5,16138253,1,FALSE
CD53,1686,CD53,11891195,1,FALSE
CD7,1695,CD7,8731104,1,FALSE
CD70,11937,CD70,21908555,1,FALSE
