approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
ABCC6,57,ABCC6,OMIM:264800; OMIM:614473,2,HP:0100817; HP:0000121
ACE,2707,ACE,OMIM:267430,1,HP:0008660 | HP:0100519
ACP5,124,ACP5,OMIM:607944,1,HP:0005576
ACTG2,145,ACTG2,OMIM:155310; OMIM:619431,2,HP:0000076 | HP:0000126; HP:0000072 | HP:0000126
ACTN4,166,ACTN4,OMIM:603278,1,HP:0003774 | HP:0000097
ADA,186,ADA,OMIM:102700; OMIM:102700; OMIM:102700; OMIM:102700,4,HP:0001967; HP:0001967; HP:0001967; HP:0001967
ADA2,1839,ADA2,OMIM:615688,1,HP:0033261
ADAMTS13,1366,ADAMTS13,OMIM:274150,1,HP:0005575 | HP:0012211 | HP:0002907
ADCY10,21285,ADCY10,OMIM:143870,1,HP:0008672
ADNP,15766,ADNP,OMIM:615873,1,HP:0000105
AFF3,6473,AFF3,OMIM:619297,1,HP:0000089 | HP:0000085
AFF4,17869,AFF4,OMIM:616368,1,HP:0000085 | HP:0000076
AGPAT2,325,AGPAT2,OMIM:608594,1,HP:0000787
AGT,333,AGT,OMIM:267430,1,HP:0008660 | HP:0100519
AGTR1,336,AGTR1,OMIM:267430,1,HP:0008660 | HP:0100519
AGXT,341,AGXT,OMIM:259900,1,HP:0000121 | HP:0000083 | HP:0008672 | HP:0000790
AHI1,21575,AHI1,OMIM:608629,1,HP:0003774 | HP:0000090
AIRE,360,AIRE,OMIM:240300; OMIM:240300,2,HP:0000121; HP:0000121
AKT1,391,AKT1,OMIM:114500,1,HP:0005584
ALDH18A1,9722,ALDH18A1,OMIM:616603,1,HP:0000122
ALDOB,417,ALDOB,OMIM:229600,1,HP:0000114 | HP:0002049
ALG5,20266,ALG5,OMIM:620056,1,HP:0003774 | HP:0012585 | HP:0032948 | HP:0000083 | HP:0005562
ALG8,23161,ALG8,OMIM:617874,1,HP:0000107
ALG9,15672,ALG9,OMIM:263210; OMIM:608776,2,HP:0000113; HP:0000113
ALKBH8,25189,ALKBH8,OMIM:618504,1,HP:0000122
ALMS1,428,ALMS1,OMIM:203800,1,HP:0000123 | HP:0001970 | HP:0000083
ALPL,438,ALPL,OMIM:241500,1,HP:0000121
AMER1,26837,AMER1,OMIM:300373,1,HP:0000003
AMMECR1,467,AMMECR1,OMIM:300990,1,HP:0000121 | HP:0000110
AMN,14604,AMN,OMIM:618882,1,HP:0000083
ANKRD17,23575,ANKRD17,OMIM:619504,1,HP:0000122
ANKS6,26724,ANKS6,OMIM:615382,1,HP:0003774 | HP:0000083 | HP:0000090 | HP:0000113 | HP:0000105
ANLN,14082,ANLN,OMIM:616032,1,HP:0003774 | HP:0000100 | HP:0000097
ANOS1,6211,ANOS1,OMIM:308700,1,HP:0000122
ANTXR1,21014,ANTXR1,OMIM:230740,1,HP:0005576
AP2S1,565,AP2S1,OMIM:600740,1,HP:0000083 | HP:0000787 | HP:0008659
APC,583,APC,OMIM:114500,1,HP:0005584
APOA1,600,APOA1,OMIM:105200,1,HP:0000112 | HP:0000100 | HP:0000790
APOE,613,APOE,OMIM:611771,1,HP:0100820 | HP:0012574 | HP:0000083
APOL1,618,APOL1,OMIM:612551,1,HP:0003774 | HP:0000097
APRT,626,APRT,OMIM:614723,1,HP:0000083 | HP:0000790 | HP:0034368 | HP:0100520 | HP:0000787
AQP2,634,AQP2,OMIM:125800; OMIM:125800,2,HP:0000103; HP:0000103
ARHGDIA,678,ARHGDIA,OMIM:615244,1,HP:0003774 | HP:0000100 | HP:0012577 | HP:0012622 | HP:0001967
ARID1B,18040,ARID1B,OMIM:135900,1,HP:0000089 | HP:0000086 | HP:0000126 | HP:0000072
ARL3,694,ARL3,OMIM:618161,1,HP:0030760 | HP:0000003 | HP:0000126
ARL6,13210,ARL6,OMIM:209900; OMIM:209900; OMIM:600151,3,HP:0000077; HP:0000077; HP:0000089
ARNT2,16876,ARNT2,OMIM:615926,1,HP:0000076 | HP:0000126
ARPC4,707,ARPC4,OMIM:620141,1,HP:0000126
ARSK,25239,ARSK,OMIM:619698,1,HP:0000787
ARX,18060,ARX,OMIM:300004,1,HP:0000110
ASXL1,18318,ASXL1,OMIM:605039,1,HP:0000076
ASXL2,23805,ASXL2,OMIM:617190,1,HP:0000122
ATN1,3033,ATN1,OMIM:618494,1,HP:0000089 | HP:0000122 | HP:0000126
ATP1A1,799,ATP1A1,OMIM:618314,1,HP:0000121 | HP:0000103
ATP6V0A4,866,ATP6V0A4,OMIM:602722,1,HP:0000121 | HP:0008341
ATP6V1B1,853,ATP6V1B1,OMIM:267300,1,HP:0001947 | HP:0000787
ATP7A,869,ATP7A,OMIM:304150,1,HP:0006000 | HP:0000126
ATP7B,870,ATP7B,OMIM:277900,1,HP:0000124 | HP:0000787
ATPAF2,18802,ATPAF2,OMIM:604273,1,HP:0000089
ATRX,886,ATRX,OMIM:301040; OMIM:309580,2,HP:0000126 | HP:0000104; HP:0000089 | HP:0000076
AURKA,11393,AURKA,OMIM:114500; OMIM:114500,2,HP:0005584; HP:0005584
AVIL,14188,AVIL,OMIM:618594,1,HP:0003774 | HP:0031266 | HP:0001967 | HP:0012588
AVPR2,897,AVPR2,OMIM:304800,1,HP:0000103
AXIN1,903,AXIN1,OMIM:607864,1,HP:0000073
AXIN2,904,AXIN2,OMIM:114500,1,HP:0005584
B2M,914,B2M,OMIM:105200,1,HP:0000112 | HP:0000100 | HP:0000790
B3GALT6,17978,B3GALT6,OMIM:609465,1,HP:0000126
B3GLCT,20207,B3GLCT,OMIM:261540,1,HP:0000089 | HP:0000126 | HP:0000073
B4GAT1,15685,B4GAT1,OMIM:615287,1,HP:0000003 | HP:0000126
B9D1,24123,B9D1,OMIM:614209; OMIM:617120,2,HP:0000003; HP:0010946
B9D2,28636,B9D2,OMIM:614175; OMIM:614175,2,HP:0000107; HP:0000107
BAP1,950,BAP1,OMIM:614327; OMIM:619762,2,HP:0005584; HP:0000126
BAX,959,BAX,OMIM:114500,1,HP:0005584
BBIP1,28093,BBIP1,OMIM:615995,1,HP:0003774 | HP:0000083
BBS1,966,BBS1,OMIM:209900; OMIM:209900,2,HP:0000077; HP:0000077
BBS10,26291,BBS10,OMIM:615987,1,HP:0000083 | HP:0000107
